Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
"Collins,A",9780807759066,Rethinking Education in the Age of Technology,2,,,191,consistent,7/25/19
"Coniaris, A",9780937032077,Making God Real In Orthodox Christian Home,5,,,191,consistent,7/25/19
"Cook, M",9780199931774,Struggle For Egypt,1,,,181,consistent,7/25/19
"Cooke, L",9780984522903,The Genealogist's Google Toolbox,4,,,185,consistent,7/25/19
"Corsini, R",9781285083711,Current Psychotherapies 10E,1,,,185,consistent,7/25/19
"Cristobal , C",9788420691374,Los cuatro viajes. Testamento,2,,,191,consistent,7/25/19
"Crosthwaite, L",9786074212129,Idos de la Mente,9,,,181,consistent,7/25/19
"Crowe, C",9780142501924,Mississippi Trial 1955,1,,,191,consistent,7/25/19
Cunningham,9781285896045,Culture & Values 8E Vol 1 3-Hole,1,,,181,consistent,7/25/19
"Cunningham, L",9781133952435,Culture & Values 8E Vol 2,1,,,181,consistent,7/25/19
"Cunningham, L",9781285458199,Culture & Values 8E Vol 2,3,,,181,consistent,7/25/19
"Cunningham, L",9781634604727,Logic Of Subchapter K 5E,5,,,193,consistent,7/25/19
Damrosch,9780205223169,Longman Anth Of Brit Lit Vol 1,1,,,181,consistent,7/25/19
"Damrosch, D",9780205625963,Longman Anth Of World Lit 2E Vol B Medieval Era,2,,,185,consistent,7/25/19
Dante,9780451531391,Inferno (Ciardi),1,,,185,consistent,7/25/19
Dante - Penguin,9780142437223,Divine Comedy (V1: Inferno) (Musa) 2E,1,,,191,consistent,7/25/19
Dauster,9780919659391,Nueve Dramaturgos Hispanoamericanos 2E Vol 3,2,,,185,consistent,7/25/19
"Davidson, E",9781480102699,Actionable Evaluation Basics,1,,,171,consistent,7/25/19
"Davis, P",9780395929681,Mathematical Experience,6,,,185,consistent,7/25/19
"De Angelis, L",9788874334636,Incontri Con La Poesia Italiana Del Novecento,5,,,181,consistent,7/25/19
"De Bary, W",9780231143059,Sources Of East Asian Tradition Vol 1,8,,,191,consistent,7/25/19
"De Bary, W",9780231143233,Sources Of East Asian Tradition Vol 2,11,,,191,consistent,7/25/19
"De Navarre, M",9780140443554,Heptameron,3,,,191,consistent,7/25/19
Deary,9780192893215,Intelligence,20,,,191,consistent,7/25/19
"Deavellaneda, G",9788437615943,Sab (Catedra #437),2,,,191,consistent,7/25/19
"Debecker, G",9780440508830,Gift of Fear,3,,,191,consistent,7/25/19
"Demos, j",9780679759614,Unredeemed Captive,1,,,185,consistent,7/25/19
"Depizan, C",9780892552306,Book Of The City Of Ladies Rev,4,,,191,consistent,7/25/19
"Desmond, M",9780393937657,Race In America W/ Inquizitive Access,1,,,193,"1 in cage, netsuite says 4",7/25/19
"Deveaux, S",9780393935639,Jazz Essential Listening,1,,,193,"1 in cage, netsuite says 9",7/25/19
"Diamond, G",9781433815676,Attachment-Based Family Therapy for Depressed Adolescents,2,,,191,consistent,7/25/19
"Dimino, M",9781632833846,Voting Rights and Election Law,6,,,191,consistent,7/25/19
"DiPaolo, M",9780786447183,"War, Politics and Superheroes",1,,,185,consistent,7/25/19
"Dominguez Ortiz, A",9788496467514,Espana : Tres Milenios de Historia,32,,,181,consistent,7/25/19
"Donnelly, J",9780152053109,Northern Light,5,,,181,consistent,7/25/19
Donoghue,9780316098328,Room: A Novel,1,,,191,consistent,7/25/19
"Dressler, J",9781628102055,Criminal Law:Cases And Materials,3,,,191,consistent,7/25/19
Duffy,9781509824960,Standing Female Nude,1,,,191,consistent,7/25/19
Dunham,9780140147391,Journey Through Genius,1,,,193,consistent,7/25/19
"Dunn, F",9781568817231,3D Math Primer: Graphics & Game Devlop 2E,8,,,195,"8 in cage, netsuite says 11",7/25/19
"Durham, W",9780735584822,Law & Religion,1,,,191,consistent,7/25/19
"Eberlein, E",9788512546100,Novo Avenida Brasil 3,3,,,191,consistent,7/25/19
"Ebnar-Eschenbach, M",9781571133908,Their Pavel,2,,,185,consistent,7/25/19
"Eddington, D",9781443876384,Statistics For Linguists,5,,,191,consistent,7/25/19
Ehrlich,9780763610340,When I Was Your Age Vol 1,7,,,184,consistent,7/25/19
"Eickelman, D",9780130336781,Middle East & Central Asia 4E,2,,,191,consistent,7/25/19
"Eisenstein, E",9781107632752,Printing Revolution In Early Modern Europe 2E Rev,4,,,191,consistent,7/25/19
"Eismann, K",9780321316271,Adobe Photoshop Restoration & Retouching 3E,3,,,181,consistent,7/25/19
"Emerick, Y",9781933269160,What Islam is All About,2,,,191,consistent,7/25/19
Epictetus,9780915145690,Handbook of Epictetus,1,,,193,consistent,7/25/19
Erasmus,9781110345830,Ciceronianus: Dialogue On Best Style Of Speaking (Pod),3,,,181,consistent,7/25/19
"Eskridge, W",9781628101737,Legislation (Casebook) 5E,5,,,191,consistent,7/25/19
"Eskridge, W",9780314273567,"Statutes, Regulation, & Interpretation",2,,,191,consistent,7/25/19
"Espronceda, J",9788437610269,El Diablo Mundo.El Pelayo.Poesias,10,,,183,consistent,7/25/19
Eusebius,9780825433078,Eusebius: Church History,1,,,191,consistent,7/25/19
"Evenson, W",9781589580930,Mormonism & Evolution,1,,,191,consistent,7/29/19
"Evergreen, S",9781506303055,Effective Data Visualization,1,,,195,consistent,7/25/19
"Faber, D",9781454869252,Disaster Law & Policy 3E,1,,,181,consistent,7/25/19
"Fallon, R",9781599413426,Federal Courts And The Federal System 6E,2,,,191,"2 in cage, netsuite says 0",7/25/19
"Fallon, R",9781609304270,Federal Courts And The Federal System 7E,7,,,191,"7 in cage, netsuite says 0",7/25/19
"Fanagan, D",9781462535781,Contemporary Intellectual Assessment,2,,,191,consistent,7/25/19
"Fangyuan, Y",9787513534017,Survival Chinese 101,2,,,181,consistent,7/25/19
"Fangyuan, Y",9787513571395,Survival Chinese 101,4,,,185,consistent,7/25/19
Farrand,9780300000795,Framing Of The Constitution Of The United Sta,2,,,181,consistent,7/25/19
