Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
"Wong, W",9781337580755,Encore Niveau intermédiaire W/ACCESS CODE,1,,,185,consistent,7/15/19
"Wooten, C",9780807866450,Hermogenes' On Types of Style,3,,,181,consistent,7/15/19
"Wright, C",9780374532147,Sestets,1,,,185,consistent,7/15/19
"Yasunari, K",9784101001029,Izo no Odoriko,2,,,191,consistent,7/15/19
"Yenor, S",9781602584792,Family Politics: Idea Of Marriage,1,,,191,consistent,7/15/19
"Yorkston, K",9781416404347,Mngmnt Motor Speech Dis Children & Adults 3E W/ Cd Only,2,,,191,consistent,7/15/19
"Young, A",9780807054055,The Shoemaker & the Tea Party,1,,,193,consistent,7/15/19
"Zarr, S",9780316036030,Once Was Lost,1,,,181,consistent,7/15/19
"Zimmerman, W",9780374528935,First Great Triumph,6,,,181,consistent,7/15/19
"Zorilla, J",9788437602134,Don Juan Tenorio (Catedra),6,,,181,consistent,7/15/19
"Zukin,C",9780195183177,A New Engagement,4,,,191,consistent,7/15/19
